PC Name,No,Type,State,Winning Candidate,Party,Electors,Votes,Turnout,Margin,Margin %,Year
Bilhaur,64,GEN,Uttar Pradesh [1947 - 1999],Shyam Bihari Mishra,Bharatiya Janta Party,"12,61,013","6,38,771",50.70%,"3,223",0.50%,1999
Birbhum,42,SC,West Bengal,Ram Chandra Dome,Communist Party Of India (MARXIST),"10,43,876","7,34,173",70.30%,"1,57,156",21.40%,1999
Bobbili,3,GEN,Andhra Pradesh,Botcha Satyanarayana,Indian National Congress,"9,49,773","7,16,703",75.50%,"3,821",0.50%,1999
Bolangir,16,GEN,Orissa,Sangeeta Kumari Singh Deo,Bharatiya Janta Party,"10,51,199","6,42,761",61.20%,"1,80,979",28.20%,1999
Bolpur,41,GEN,West Bengal,Somnath Chatterjee,Communist Party Of India (MARXIST),"10,37,427","7,92,871",76.40%,"1,86,389",23.50%,1999
Broach,23,GEN,Gujarat,Mansukhbhai Vasava,Bharatiya Janta Party,"10,96,772","5,91,461",53.90%,"47,140",8.00%,1999
Budaun,10,GEN,Uttar Pradesh [1947 - 1999],Saleem Iqbal Shervani,Samajwadi Party,"11,08,847","6,10,270",55.00%,"41,314",6.80%,1999
Bulandshahr,78,GEN,Uttar Pradesh [1947 - 1999],Chhatra Pal,Bharatiya Janta Party,"10,98,334","4,99,074",45.40%,"61,929",12.40%,1999
Buldhana,18,SC,Maharashtra,Adsul Anandrao Vithoba,Shiv Sena,"10,39,128","7,43,613",71.60%,"45,007",6.10%,1999
Bulsar,26,ST,Gujarat,Manibhai Ramjibhai Chaudhari,Bharatiya Janta Party,"11,51,087","5,96,510",51.80%,"26,786",4.50%,1999
Burdwan,39,GEN,West Bengal,Sar Nikhilananda,Communist Party Of India (MARXIST),"12,16,764","9,84,678",80.90%,"3,01,683",30.60%,1999
Buxar,37,GEN,Bihar [1947 - 1999],Lal Muni Choubey,Bharatiya Janta Party,"10,29,419","6,09,414",59.20%,"11,606",1.90%,1999
Calcutta North East,22,GEN,West Bengal,Ajit Kumar Panja,All India Trinamool Congress,"9,24,613","6,58,740",71.20%,"41,574",6.30%,1999
Calcutta North West,21,GEN,West Bengal,Sudip Bandyopadhyay,All India Trinamool Congress,"7,04,009","4,44,043",63.10%,"94,170",21.20%,1999
Calcutta South,23,GEN,West Bengal,Mamata Banerjee,All India Trinamool Congress,"12,02,607","8,05,268",67.00%,"2,14,008",26.60%,1999
Calicut,4,GEN,Kerala,K. Muraleedharan,Indian National Congress,"11,24,640","8,26,901",73.50%,"50,402",6.10%,1999
Cannanore,2,GEN,Kerala,A.P. Abdullakkutty,Communist Party Of India (MARXIST),"11,21,192","8,86,354",79.10%,"10,247",1.20%,1999
Chail,57,SC,Uttar Pradesh [1947 - 1999],Suresh Pasi,Bahujan Samaj Party,"13,10,550","5,15,937",39.40%,"29,285",5.70%,1999
Chamarajanagar,15,SC,Karnataka,V.Sreenivasaprasad,Janata Dal (United),"11,01,851","8,11,900",73.70%,"16,146",2.00%,1999
Chandauli,51,GEN,Uttar Pradesh [1947 - 1999],Jawahar Lal Jaiswal,Samajwadi Party,"13,40,398","7,38,159",55.10%,"73,529",10.00%,1999
Chandigarh,1,GEN,Chandigarh,Pawan Kumar Bansal,Indian National Congress,"5,85,006","2,82,879",48.40%,"5,449",1.90%,1999
Chandni Chowk,5,GEN,Delhi [1977 Onwards],Vijay Goel,Bharatiya Janta Party,"3,76,654","2,04,453",54.30%,"1,995",1.00%,1999
Chandrapur,26,GEN,Maharashtra,Puglia Nareshkumar Chunnalal,Indian National Congress,"12,24,338","8,28,220",67.70%,"2,837",0.30%,1999
Chapra,7,GEN,Bihar [1947 - 1999],Rajiv Pratap Rudi,Bharatiya Janta Party,"10,03,426","7,78,714",77.60%,"43,553",5.60%,1999
Chatra,44,GEN,Bihar [1947 - 1999],Nagmani,Rashtriya Janata Dal,"10,15,184","4,26,241",42.00%,"55,099",12.90%,1999
Chengalpattu,5,GEN,Tamil Nadu,"Moorthy, A.K.",Pattali Makkal Katchi,"12,00,040","6,99,911",58.30%,"12,811",1.80%,1999
Chhindwara,27,GEN,Madhya Pradesh [1947 - 1999],Kamal Nath,Indian National Congress,"10,55,697","6,36,741",60.30%,"1,88,928",29.70%,1999
Chhota Udaipur,21,ST,Gujarat,Ramsinh Rathawa,Bharatiya Janta Party,"9,62,525","5,25,505",54.60%,"1,198",0.20%,1999
Chidambaram,12,SC,Tamil Nadu,"Ponnuswamy, E.",Pattali Makkal Katchi,"11,10,229","7,32,994",66.00%,"1,19,563",16.30%,1999
Chikballapur,9,GEN,Karnataka,R.L. Jalappa,Indian National Congress,"11,89,272","8,50,230",71.50%,"2,11,186",24.80%,1999
Chikkodi,26,SC,Karnataka,Jigajinagi Rameshchandappa,Janata Dal (United),"10,94,053","7,68,685",70.30%,"84,590",11.00%,1999
Chikmagalur,20,GEN,Karnataka,D.C.Srikantappa,Bharatiya Janta Party,"10,50,838","7,41,895",70.60%,"30,277",4.10%,1999
Chimur,25,GEN,Maharashtra,Diwathe Namdeo Harbaji,Bharatiya Janta Party,"10,13,322","7,80,721",77.10%,"70,040",9.00%,1999
Chirayinkil,19,GEN,Kerala,Varkala Radhakrishnan,Communist Party Of India (MARXIST),"10,96,417","6,91,113",63.00%,"3,128",0.50%,1999
Chitradurga,7,GEN,Karnataka,Shashi Kumar,Janata Dal (United),"11,77,238","8,68,544",73.80%,"11,178",1.30%,1999
Chittoor,21,GEN,Andhra Pradesh,Noothana Kalva Ramakrishna Reddy,Telugu Desam,"11,40,219","8,53,778",74.90%,"18,638",2.20%,1999
Chittorgarh,19,GEN,Rajasthan,Shrichand Kriplani,Bharatiya Janta Party,"12,48,906","8,20,674",65.70%,"37,377",4.60%,1999
Churu,3,GEN,Rajasthan,Ram Singh Kaswan,Bharatiya Janta Party,"12,39,736","6,85,792",55.30%,"46,809",6.80%,1999
Coimbatore,20,GEN,Tamil Nadu,"Radhakrishnan, C.P.",Bharatiya Janta Party,"15,71,475","8,74,136",55.60%,"54,077",6.20%,1999
Contai,31,GEN,West Bengal,Neetish Sengupta,All India Trinamool Congress,"9,90,917","8,23,941",83.20%,"12,133",1.50%,1999
Cooch Behar,1,SC,West Bengal,Amar Roy Pradhan,All India Forward Bloc,"11,16,523","9,02,487",80.80%,"1,08,165",12.00%,1999
Cuddalore,11,GEN,Tamil Nadu,"Sankar, Adhi",Dravida Munetra Kazhagam,"11,36,122","7,24,354",63.80%,"73,953",10.20%,1999
Cuddapah,23,GEN,Andhra Pradesh,Vivekananda Reddy Y.S.,Indian National Congress,"10,90,670","7,39,109",67.80%,"26,597",3.60%,1999
Cuttack,6,GEN,Orissa,Bhartruhari Mahtab,Biju Janata Dal,"12,15,249","6,24,984",51.40%,"2,05,317",32.90%,1999
Dadra & Nagar Haveli,1,ST,Dadra & Nagar Haveli,Delkar Mohanbhai Sanjibhai,Independent,"98,376","73,507",74.70%,"14,878",20.20%,1999
Dahanu,11,ST,Maharashtra,Adv Chintaman Wanaga,Bharatiya Janta Party,"14,34,678","7,08,881",49.40%,"62,270",8.80%,1999
Dahod,17,ST,Gujarat,Katara Babubhai Khimabhai,Bharatiya Janta Party,"10,28,979","4,77,887",46.40%,"12,431",2.60%,1999
Daman And Diu,1,GEN,Daman & Diu,Patel Dahyabhai Vallabhbhai,Indian National Congress,"72,216","51,811",71.70%,"3,226",6.20%,1999
Damoh,7,GEN,Madhya Pradesh [1947 - 1999],Dr. Ramkrishna Kusmaria,Bharatiya Janta Party,"12,40,626","5,71,868",46.10%,"13,719",2.40%,1999
Darbhanga,15,GEN,Bihar [1947 - 1999],Kirti Azad,Bharatiya Janta Party,"10,43,388","7,66,168",73.40%,"55,548",7.30%,1999
Darjeeling,4,GEN,West Bengal,S.P. Lepcha,Communist Party Of India (MARXIST),"12,76,753","5,90,023",46.20%,"1,11,969",19.00%,1999
Dausa,7,GEN,Rajasthan,Rajesh Pilot,Indian National Congress,"12,61,758","7,52,241",59.60%,"6,902",0.90%,1999
Davangere,6,GEN,Karnataka,G.Mallikarjunappa,Bharatiya Janta Party,"12,17,506","8,82,717",72.50%,"16,269",1.80%,1999
Delhi Sadar,6,GEN,Delhi [1977 Onwards],Madan Lal Khurana,Bharatiya Janta Party,"5,29,646","2,78,297",52.50%,"13,870",5.00%,1999
Deogarh,18,GEN,Orissa,Debendra Pradhan,Bharatiya Janta Party,"11,68,931","6,90,605",59.10%,"86,869",12.60%,1999
Deoria,41,GEN,Uttar Pradesh [1947 - 1999],Shri Prakash Mani,Bharatiya Janta Party,"12,75,208","7,04,710",55.30%,"42,141",6.00%,1999
Dhanbad,47,GEN,Bihar [1947 - 1999],Rita Verma,Bharatiya Janta Party,"14,33,645","7,71,044",53.80%,"14,226",1.80%,1999
Dhandhuka,9,SC,Gujarat,Varma Ratilal Kalidas,Bharatiya Janta Party,"10,29,877","4,72,898",45.90%,"5,223",1.10%,1999
Dhar,36,ST,Madhya Pradesh [1947 - 1999],Gajendra Singh Rajukhedi,Indian National Congress,"11,57,368","6,98,901",60.40%,"34,105",4.90%,1999
Dharmapuri,13,GEN,Tamil Nadu,"Elangovan, P.D.",Pattali Makkal Katchi,"12,26,879","7,28,960",59.40%,"25,540",3.50%,1999
Dharwad North,24,GEN,Karnataka,Vijay Sankeshwar,Bharatiya Janta Party,"11,21,461","7,52,900",67.10%,"41,602",5.50%,1999
Dharwad South,23,GEN,Karnataka,Prof. I.G. Sanadi,Indian National Congress,"10,88,328","7,99,552",73.50%,"39,198",4.90%,1999
Dhenkanal,19,GEN,Orissa,Kamakhya Prasad Singh Deo,Indian National Congress,"11,18,853","6,11,061",54.60%,"3,674",0.60%,1999
Dhubri,4,GEN,Assam,Abdul Hamid,Indian National Congress,"10,50,547","8,25,531",78.60%,"21,340",2.60%,1999
Dhule,14,ST,Maharashtra,Ramdas Rupla Gavit,Bharatiya Janta Party,"11,02,845","6,26,353",56.80%,"12,985",2.10%,1999
Diamond Harbour,17,GEN,West Bengal,Samik Lahiri,Communist Party Of India (MARXIST),"11,36,879","8,58,209",75.50%,"71,163",8.30%,1999
Dibrugarh,13,GEN,Assam,Paban Singh Ghatowar,Indian National Congress,"9,45,785","5,78,810",61.20%,"67,116",11.60%,1999
Dindigul,23,GEN,Tamil Nadu,"Sreenivaasan, C.",All India Anna Dravida Munnetra Kazhagam,"11,94,616","6,86,477",57.50%,"20,343",3.00%,1999
Domariaganj,35,GEN,Uttar Pradesh [1947 - 1999],Ram Pal Singh,Bharatiya Janta Party,"11,46,572","6,24,312",54.50%,"35,567",5.70%,1999
Dum Dum,20,GEN,West Bengal,Tapan Sikdar,Bharatiya Janta Party,"15,98,044","12,09,926",75.70%,"1,34,561",11.10%,1999
Dumka,27,ST,Bihar [1947 - 1999],Babu Lal Marandi,Bharatiya Janta Party,"9,51,280","5,54,237",58.30%,"4,648",0.80%,1999
Durg,21,GEN,Madhya Pradesh [1947 - 1999],Tara Chand Sahu,Bharatiya Janta Party,"13,29,978","7,72,240",58.10%,"44,518",5.80%,1999
Durgapur,37,SC,West Bengal,Sunil Khan,Communist Party Of India (MARXIST),"12,12,641","8,85,335",73.00%,"1,17,963",13.30%,1999
East Delhi,4,GEN,Delhi [1977 Onwards],Lal Bihari Tiwari,Bharatiya Janta Party,"23,93,813","10,38,278",43.40%,"82,760",8.00%,1999
Eluru,11,GEN,Andhra Pradesh,Bolla Bulli Ramaiah,Telugu Desam,"11,47,205","8,52,429",74.30%,"62,231",7.30%,1999
Erandol,16,GEN,Maharashtra,Annasaheb M K Patil,Bharatiya Janta Party,"10,82,958","6,79,754",62.80%,"1,04,456",15.40%,1999
Ernakulam,11,GEN,Kerala,Adv. George Eden,Indian National Congress,"11,80,911","7,76,933",65.80%,"1,11,305",14.30%,1999
Etah,71,GEN,Uttar Pradesh [1947 - 1999],Kr. Devendra Singh Yadav,Samajwadi Party,"10,36,859","5,95,040",57.40%,"52,524",8.80%,1999
Etawah,66,GEN,Uttar Pradesh [1947 - 1999],Raghuraj Singh Shakya,Samajwadi Party,"11,48,723","6,08,768",53.00%,"83,683",13.70%,1999
Faizabad,28,GEN,Uttar Pradesh [1947 - 1999],Vinay Katiyar,Bharatiya Janta Party,"12,28,752","6,66,543",54.30%,"57,562",8.60%,1999
Faridabad,6,GEN,Haryana,Ram Chander Bainda,Bharatiya Janta Party,"13,30,157","7,55,003",56.80%,"34,248",4.50%,1999
